id	nome
39073	CALEVI MINERADORA E COMERCIO LTDA - EPP
179674	JUDITH FERREIRA DOS SANTOS - ME
11266	J. M. TORRES JORNAIS E REVISTAS LTDA - EPP
15629	DIAMOND - PROMOCOES E EVENTOS LTDA - EPP
122140	M L CONSULTORIA E SERVICOS LTDA - ME
139308	SEISELLES DISTRIBUICAO E LOGISTICA LTDA - ME
7239	EFICACIA ORGANIZACAO LTDA - ME
76145	REPUBLICA HALL EVENTOS LTDA - ME
29109	LAVANDERIA PADRAO  EIRELI - EPP
143650	BARRETO MUNIZ CONSTRUCAO E ENGENHARIA LTDA - ME
5706	STILO GRAFICA E EDITORA LTDA - EPP
85654	AIRES TURISMO LTDA - EPP
52011	MARCENARIA REGIONAL DIVISORIAS E MOVEIS LTDA - ME
166367	APOLO AGENCIA DE VIAGENS E TURISMO LTDA - EPP
110249	DF TURISMO E EVENTOS LTDA  - ME
142816	ELDEX DISTRIBUIDORA DE JORNAIS E REVISTAS LTDA - ME
274611	BIOME PLANEJAMENTO E SISTEMAS DE GESTAO ESTRATEGICA EIRELI - ME
81030	ADVEN COMERCIO, LOCACAO E SERVICOS LTDA
257160	SOUZA & SANTOS CONSTRUCAO E INCORPORACAO LTDA - ME
110249	DF TURISMO E EVENTOS LTDA  - ME
87413	ELF INFORMATICA LTDA - ME
237162	OZZY SOLUCOES EM TI LTDA  - ME
85654	AIRES TURISMO LTDA - EPP
85654	AIRES TURISMO LTDA - EPP
92751	ADTEL TECNOLOGIA EIRELI
17541	COPY LINE COMERCIO E SERVICOS LTDA - EPP
179760	ECC CONSTRUTORA LTDA - ME
169669	ELEVADORES OTIS LTDA
173001	TECNOLTA EQUIPAMENTOS ELETRONICOS LTDA
10539	ENGLISH COMPANY ASSESSORIA LINGUISTICA LTDA - EPP
107196	VITORIA TURISMO LTDA - ME
19376	AMERICEL S/A
74684	OI MOVEL S.A. - EM RECUPERACAO JUDICIAL
19376	AMERICEL S/A
19376	AMERICEL S/A
83086	DECOLANDO TURISMO E REPRESENTACOES LTDA - ME
18811	CTIS TECNOLOGIA S.A
78829	INDUSTRIA DE AGUA MINERAL IBIA LTDA - EPP
123178	CONTATO PRODUTOS ELETRICOS E ELETRONICOS LTDA EPP - EPP
61325	L. A. VIAGENS E TURISMO LTDA - ME
85654	AIRES TURISMO LTDA - EPP
87824	LILA TURISMO EIRELI - ME
58809	REI DAS CHAVES E FECHADURAS LTDA - EPP
179651	URSO BRANCO SERVICOS DE INSTALACOES E MANUTENCOES EIRELI
22093	VITORIA DISTRIBUIDORA DE JORNAIS LTDA - ME
258412	IMPERIAL SERVICOS DE MAO DE OBRA LTDA - ME
44758	CARMONA & TEIXEIRA LTDA - ME
44766	CINCO ESTRELAS TRANSPORTES E LOGISTICA LTDA - EPP
4982	INTERNACIONAL COMERCIO DE FLORES E PLANTAS LTDA - ME
144809	S A COMERCIO VAREJISTA DE JORNAIS, LIVROS E REVISTAS LTDA - ME
119	TRIPS PASSAGENS E TURISMO LTDA - EPP
255925	AUTO REGULADORA NIPPON LTDA - ME
178385	EMIBM ENGENHARIA E COMERCIO EIRELI
110249	DF TURISMO E EVENTOS LTDA  - ME
152844	MAXIMUM COMERCIAL IMPORTADORA E EXPORTADORA LTDA - EPP
85654	AIRES TURISMO LTDA - EPP
264654	VANDER E TITRA PROMOCOES E PRODUCOES LTDA - EPP
45483	IPANEMA SEGURANCA LTDA
166348	CIDADE SERVICOS E MAO DE OBRA ESPECIALIZADA LTDA
40484	AUTO POSTO MILLENNIUM 2000 LTDA
6673	REIMAQ ASSISTENCIA TECNICA DE DUPLICADORES EIRELI - EPP
52078	NARA COMERCIAL DE ALIMENTOS LTDA - EPP
238754	CTO SERVICOS EMPRESARIAIS LTDA - ME
84692	PEDRO PORFIRIO DA FONSECA - ME
19713	IT SERVICOS CORPORATIVOS, COMERCIO E EMPREENDIMENTOS EIRELI - EPP
