nome
SAE-CNEN/CENTRO DESENV.TECNOLOGIA NUCLEAR/MG
UNIDADE ESTADUAL DO IBGE EM MINAS GERAIS
SUPERINT.FEDERAL DE AGRIC.PECUARIA E ABASTEC.
DISTRITO DE METEOROLOGIA/MG
COMPANHIA NACIONAL DE ABASTECIMENTO - CONAB
CENTRO FEDERAL DE EDUCACAO TECNOLOGICA - MG
ADMINISTRACAO GERAL/UFMG
BIBLIOTECA UNIVERSITARIA/UFMG
CENTRO COMPUTACAO/UFMG
HOSPITAL CLINICAS/UFMG
IMPRENSA UNIVERSITARIA/UFMG
DEPARTAMENTO DE OBRAS
DEP. DE MANUTENCAO E OPERACAO DA INFRAESTRUTU
ESCOLA DE ARQUITETURA/UFMG
ESCOLA DE BELAS ARTES/UFMG
ESCOLA DE CIENCIA DA INFORMAÇÃO/UFMG
ESCOLA DE EDUCA¢AO FISICA/UFMG
ESCOLA DE ENFERMAGEM/UFMG
ESCOLA DE MUSICA/UFMG
ESCOLA DE VETERINARIA/UFMG
FACULDADE DE CIENCIAS ECONOMICAS/UFMG
FACULDADE DE EDUCACAO/UFM
FACULDADE DE FARMACIA/UFMG
FACULDADE DE FILOSOFIA E CIENC. HUMANAS/UFMG
FACULDADE DE LETRAS/UFMG
FACULDADE DE MEDICINA/UFMG
FACULDADE DE ODONTOLOGIA/UFMG
INSTITUTO DE CIENCIAS BIOLOGICAS/UFMG
INSTITUTO DE CIENCIAS EXATAS/UFMG
INSTITUTO DE GEO-CIENCIAS/UFMG
CENTRO PEDAGOGICO/UFMG
COLEGIO TECNICO/UFMG
INST.FED.DE EDUC.,CIENCIA E TECNOLOGIA DE MG
11 CIRCUNSCRICAO DE SERVICO MILITAR
12 BATALHAO DE INFANTARIA
4 COMPANHIA DE COMUNICACOES
COMANDO DA 4 REGIAO MILITAR/DIV EX
CENTRO DE PREP. DE OFICIAIS DA RESERVA DE BH
SUPERINTENDÊNCIA DE ADMINISTRAÇÃO DO MF - MG
SUP.REGIONAL RECEITA FEDERAL 6A.RF/MG
DELEGACIA DA REC.FEDERAL EM B.HORIZONTE/MG
INSPETORIA DA RECEITA FEDERAL EM B.H/MG
DELEG.DA REC.FEDERAL DE JULGAMENTO-B.HOR./MG
DELEGACIA ESPECIAL DE MAIORES CONTRIBUINTE BH
DELEGACIA REGIONAL DO INPI EM MINAS GERAIS
IBAMA - SUPERINTENDENCIA ESTADUAL/MG
SUPERINTENDENCIA REG.DEP.POLICIA FEDERAL - MG
NUCLEO ESTADUAL DO MINISTERIO DA SAUDE/MG
CENTRO DE PESQUISAS RENE RACHAU
FUNDACAO NACIONAL DE SAUDE - MG
FUND. J. D. FIGUEIREDO DE SEG. MED. TRABALHO
SUPERINTENDÊNCIA DO DNPM-MG
IBPC-13A.COORDENACAO REGIONAL- BELO HORIZONTE
DELEG.REG.DO TRAB/MINAS GERAIS
SUP. REG. DO DNIT NO ESTADO DE MINAS GERAIS
ESCRITÓRIO DE REPRESENTAÇÃO DO IBRAM/MG-ES
GERÊNCIA REGIONAL EM BELO HORIZONTE
GERÊNCIA EXECUTIVA BELO HORIZONTE/MG
