id	COUNT(*)
20105705000012017	54
20105705000022015	35
11000805000292010	17
15814605000092015	16
17013305000122009	15
15814705000892011	12
20033405000242012	12
17013305000122013	11
17013305000022015	10
15846905000292010	10
16053005000072016	10
20008605000112010	10
15800905000142017	9
15843405000012015	9
20105705000012016	9
15316705000302017	9
16019405000062015	8
15846205000152016	8
25500005000112016	8
15188905000102015	8
15814705000012016	7
15815305000012016	7
15813805000312016	7
15815305000362011	7
15563605000012016	7
16004505000072016	7
15190905000092012	7
17004005000142012	7
20010905000282016	7
15812505000142013	6
51200605000082016	6
15815305000122012	6
51139705000062016	6
15841905000082014	6
15814705000172016	6
15838305000032014	6
20010905000042016	6
15815305000052017	6
15845405000012015	6
15819505001192013	6
17013305000162005	6
11012005000962008	6
17013305000012011	6
15814705000272017	6
16021905000052010	6
17014305000072012	5
20010905000332011	5
15815405000172012	5
51200605000072007	5
20004705000172008	5
17014305000082007	5
15814705000402013	5
20012505000172010	5
15828805000012015	5
15814705000192016	5
15812905000152016	5
15814805000052014	5
15846205000252013	5
15815305000032014	5
39301005003662014	5
15814705001122012	5
15814305000082014	4
15843005000052013	4
15846205000242014	4
15846505000032012	4
15829405000012015	4
15325405000312012	4
15814605000042015	4
51200605000122013	4
15846205000262017	4
20034205000082013	4
16011105000072005	4
15852205000072013	4
20004705000012008	4
16036405000012015	4
15813405000022016	4
15814805000082015	4
16011105000182012	4
17013303000022006	4
15520705000022016	4
15325405000462011	4
15814505000012018	4
15815305000142010	4
51067705000022015	4
20001505000462008	4
17013105000432007	4
15812705000042014	4
11009905000192013	4
15325405000352014	4
20011905000142016	4
15814405000042015	4
15819505001332010	4
15852305000012014	4
15500705000012016	4
51200605000072016	4
20105705000012014	4
15812805000042017	4
51184005000042013	4
15829405000032014	4
17004005000012012	4
15841905000012015	4
51208605000012015	4
15846405000172015	4
34302805000062014	3
15812305001002012	3
16021905000602015	3
16005805000062014	3
15814405000012014	3
51067805000032008	3
17013305000132014	3
09000905000232011	3
20010005000382004	3
15812805000052017	3
24400105000132009	3
20010905000372014	3
51008005000072014	3
15814405000222012	3
51018105000172016	3
15815205000102013	3
15849305000092015	3
15405005000172016	3
17029705000012007	3
17005805000032009	3
15327805000012016	3
15815405000112012	3
76240005000142014	3
15826705000212014	3
20100405000072017	3
20010905000332013	3
17031205000052015	3
17005805000052014	3
51008005000052013	3
16006005000042011	3
20011805000022015	3
51017805000172014	3
51185705000022016	3
51018105000052009	3
15814805000122015	3
16011105000022014	3
15322205000052009	3
15441905000422016	3
51142305000042014	3
15325405000012014	3
20010905000282014	3
51018105000052014	3
51067805000062012	3
15828905000022016	3
15895805000042015	3
17001805000012015	3
16036405000072013	3
16039205000122011	3
15813405000082014	3
15813505000142016	3
51017805000022007	3
15815105000082011	3
15815305000112010	3
51067705000062014	3
15853205000042015	3
15832205000062014	3
15520705000022017	3
15800905000022017	3
15813105000082016	3
15813405000182016	3
20011505000112012	3
15813805000042017	3
13001005000022013	3
51017805000102011	3
16025005000112015	3
20012205000072009	3
51067705000032013	3
78360105000122015	3
15852205000042013	3
92514305921092009	3
16001605000112016	3
15520705000052016	3
15812305000192015	3
16039505000012017	3
15813505000252012	3
51018105000062011	3
16026505000012010	3
16029505000062012	3
16011105000122007	3
39301405007452009	3
