id	nome
169575	DWA CONSTRUCOES ELETROMECANICAS LTDA - ME
7736	ALLEN RIO SERV. E COM. DE PROD. DE INFORMATICA LTDA
141979	MOTOROLA SOLUTIONS LTDA
216020	CLEMAR ENGENHARIA LTDA
293788	OPT - ELETRONICOS E BATERIAS LIMITADA
187714	TICKET SERVICOS SA
146193	S H VIGILANCIA E SEGURANCA EIRELI - EPP
206232	HBL CARIMBOS E PLACAS INDUSTRIA E COMERCIO LTDA - EPP
87482	HORUS CONTEUDO LTDA  - ME
206232	HBL CARIMBOS E PLACAS INDUSTRIA E COMERCIO LTDA - EPP
35433	REDE SOL FUEL DISTRIBUIDORA S/A
39073	CALEVI MINERADORA E COMERCIO LTDA - EPP
18396	A.I. PRESTACAO DE SERVICOS E REFORMAS EM GERAL - ME
206232	HBL CARIMBOS E PLACAS INDUSTRIA E COMERCIO LTDA - EPP
206232	HBL CARIMBOS E PLACAS INDUSTRIA E COMERCIO LTDA - EPP
391787	PATRICIA CRISTINA DE ABREU - EPP
130685	MAXI SERVICOS PROFISSIONAIS LTDA  - ME
114009	SEMPRE FORT SEGURANCA PRIVADA LTDA - EPP
30520	TELEFONICA BRASIL S.A.
258534	SANTA FE CONSTRUCOES LTDA
331225	POLC EMPREENDIMENTOS,SERVICOS E COMERCIO LTDA - EPP
288091	MEGASUL-GESTAO DE SERVICOS TERCEIRIZADOS LTDA - EPP
40006	BETRON TECNOLOGIA EM SEGURANCA LTDA
302951	PROKLIMA AR CONDICIONADO LTDA - ME
220203	SINGEL ENGENHARIA LTDA
252778	SELME SERVICOS EMPRESARIAIS LTDA - EPP
204662	ALGAR TELECOM S/A
178648	A TELECOM TELEINFORMATICA LTDA
73742	DOCPRINT SERVICE TECNOLOGIA LTDA
106204	SETIMA - SERVICOS DE LIMPEZA LTDA. - ME
396243	FABIANA CAVALCANTE SANTOS - ME
339925	AFS EMPREENDIMENTOS E SERVICOS EIRELI - EPP
134118	ATUAL SERVICE LTDA
133321	MAXLIMP SERVICOS TERCEIRIZADOS LTDA - ME
30520	TELEFONICA BRASIL S.A.
140892	SERVIMAR SERVICOS E CONSERVACAO LTDA - ME
115741	CITY SERVICE SERVICOS TERCEIRIZADOS LTDA  - ME
115741	CITY SERVICE SERVICOS TERCEIRIZADOS LTDA  - ME
179674	JUDITH FERREIRA DOS SANTOS - ME
69834	AEROTUR SERVICOS DE VIAGENS LTDA - EPP
23693	M. DO ESPIRITO SANTO LIMA - EIRELI
31772	POLO SEGURANCA ESPECIALIZADA LTDA
11266	J. M. TORRES JORNAIS E REVISTAS LTDA - EPP
98427	CONFIANCA MUDANCAS E TRANSPORTES LTDA
37051	NCT INFORMATICA LTDA
372949	FAST FLEET GESTAO DE FROTAS LTDA - EPP
128967	CALC INFORMATICA COMERCIO E SERVICOS LTDA - EPP
38492	PREMIER EVENTOS LTDA
138244	SWOT SERVICO DE FESTAS E EVENTOS LTDA
133885	3EX COMERCIO DE PRODUTOS DE INFORMATICA LTDA - ME
3998	CPD CONSULTORIA, PLANEJAMENTO E DESENVOLVIMENTO DE SISTEMAS LTDA
15629	DIAMOND - PROMOCOES E EVENTOS LTDA - EPP
142816	ELDEX DISTRIBUIDORA DE JORNAIS E REVISTAS LTDA - ME
65985	LEO BURNETT PUBLICIDADE LTDA.
263163	VIRTU ANALISE E ESTRATEGIA LTDA.
193915	CDN COMUNICACAO CORPORATIVA LTDA
292053	S. P. C. B. CENTRO AUTOMOTIVO LTDA
427729	LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI - EPP
370800	EACE - ENGENHEIROS ASSOCIADOS CONSULTORES EM ENGENHARIA LTDA. - EPP
122140	M L CONSULTORIA E SERVICOS LTDA - ME
138244	SWOT SERVICO DE FESTAS E EVENTOS LTDA
17092	COMPUSOFTWARE INFORMATICA LTDA
179620	SANTA HELENA SEGURANCA TOTAL SA
119	TRIPS PASSAGENS E TURISMO LTDA - EPP
315431	MICRO MASTER INFORMATICA E SERVICOS LTDA - ME
139308	SEISELLES DISTRIBUICAO E LOGISTICA LTDA - ME
11266	J. M. TORRES JORNAIS E REVISTAS LTDA - EPP
147459	JPS SEGURANCA ELETRONICA E TELECOMUNICACOES LTDA - EPP
11266	J. M. TORRES JORNAIS E REVISTAS LTDA - EPP
209542	OI S.A. - EM RECUPERACAO JUDICIAL
115748	FE COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA
147030	REAL NORTE SERVICOS LTDA - ME
52678	SOPHO BUSINESS COMMUNICATIONS - SOLUCOES EMPRESARIAIS LTDA
67218	COMETA COMERCIO E SERVICOS LTDA - EPP
152771	BRILHANTE ADMINISTRACAO E SERVICOS EIRELI
114576	RCM COMUNICACAO LTDA
119	TRIPS PASSAGENS E TURISMO LTDA - EPP
60125	PISOSAN - PISOS E REVESTIMENTOS EIRELI  - ME
209542	OI S.A. - EM RECUPERACAO JUDICIAL
75273	GD - GESTAO & DESENVOLVIMENTO EMPRESARIAL LTDA - EPP
83961	UNA MARKETING DE EVENTOS LTDA
74967	AGENCIA DE EVENTOS NEGOCIOS E SERVICOS LTDA
27996	DTA ENGENHARIA LTDA
3289	AIR LIQUIDE BRASIL LTDA
409338	TECSOLDAS MCA COMERCIO E SERVICOS LTDA - ME
116151	REAL JG SERVICOS GERAIS EIRELI
70563	EMPORIUM CONSTRUTORA COMERCIO E SERVICOS LTDA - ME
72089	TECHNORT SISTEMAS DE SEGURANCA LTDA - EPP
224802	RURAL RENTAL SERVICE LTDA - EPP
